hour;day;month;year;Hs;T;wind direction
12;19;7;2003;1,4;5,1;150
15;19;7;2003;1,5;4,9;156
18;19;7;2003;1,4;5,1;156
21;19;7;2003;1,3;4,7;154
0;20;7;2003;1,1;4,7;156
3;20;7;2003;1,2;4,6;153
6;20;7;2003;1,1;4,9;163
9;20;7;2003;1,1;4,7;155
12;20;7;2003;1,3;4,9;152
15;20;7;2003;1,4;5;154
18;20;7;2003;1,3;4,9;154
21;20;7;2003;1,2;4,8;162
0;21;7;2003;1,1;5,1;156
3;21;7;2003;1,1;5,1;175
6;21;7;2003;0,9;4,9;177
9;21;7;2003;0,8;4,8;160
12;21;7;2003;0,8;4,7;178
15;21;7;2003;0,7;4,7;316
18;21;7;2003;0,6;4,7;219
21;21;7;2003;0,4;4,7;184
0;22;7;2003;0,4;4,2;202
3;22;7;2003;0,7;3,9;220
6;22;7;2003;0,6;3,7;236
9;22;7;2003;0,4;3,5;254
12;22;7;2003;0,4;4;232
15;22;7;2003;0,5;3,8;211
18;22;7;2003;0,4;3,6;218
21;22;7;2003;0,4;3,7;190
0;23;7;2003;0,4;3,6;162
3;23;7;2003;0,6;3,7;163
6;23;7;2003;0,8;3,8;158
9;23;7;2003;1,2;4,5;160
12;23;7;2003;1,6;5,2;167
15;23;7;2003;1,6;5,2;210
18;23;7;2003;1,3;5,3;224
21;23;7;2003;1;5;234
0;24;7;2003;0,9;4,7;242
3;24;7;2003;0,9;4,7;238
6;24;7;2003;0,8;5,1;227
9;24;7;2003;0,7;4,8;213
12;24;7;2003;0,7;5;180
15;24;7;2003;0,9;4,3;166
18;24;7;2003;1,1;4,6;162
21;24;7;2003;0,9;4,3;178
0;25;7;2003;1;4,6;181
3;25;7;2003;1,2;5,4;203
6;25;7;2003;1;5,8;224
9;25;7;2003;0,8;5,3;244
12;25;7;2003;0,6;5,6;319
15;25;7;2003;0,6;4,1;347
18;25;7;2003;0,6;4,2;338
21;25;7;2003;0,5;4,4;219
0;26;7;2003;0,4;4,5;168
3;26;7;2003;0,4;4,7;175
6;26;7;2003;0,4;4,8;248
9;26;7;2003;0,3;4,9;210
12;26;7;2003;0,3;4,2;154
15;26;7;2003;0,4;3,7;120
18;26;7;2003;0,4;4,2;255
21;26;7;2003;0,4;4,3;291
0;27;7;2003;0,4;4,4;248
3;27;7;2003;0,3;4,5;236
6;27;7;2003;0,3;3,9;218
9;27;7;2003;0,3;3,6;235
12;27;7;2003;0,4;3,4;221
15;27;7;2003;0,4;3,4;234
18;27;7;2003;0,5;3,9;218
21;27;7;2003;0,6;4,6;230
0;28;7;2003;0,6;5;221
3;28;7;2003;0,6;4,7;204
6;28;7;2003;0,5;4,5;184
9;28;7;2003;0,6;4,3;177
12;28;7;2003;0,8;4,1;145
15;28;7;2003;1,2;4,9;159
18;28;7;2003;1,2;5,3;156
21;28;7;2003;1,4;5,5;187
0;29;7;2003;1,1;5,6;200
3;29;7;2003;0,9;5,6;220
6;29;7;2003;0,7;5,2;221
9;29;7;2003;0,7;5;193
12;29;7;2003;0,8;4,3;139
15;29;7;2003;0,9;4,6;164
18;29;7;2003;0,9;4,2;169
21;29;7;2003;1;5,1;121
0;30;7;2003;1;4,3;296
3;30;7;2003;0,7;4,6;330
6;30;7;2003;0,9;3,8;329
9;30;7;2003;0,9;4;322
12;30;7;2003;0,9;4;323
15;30;7;2003;0,7;3,8;324
18;30;7;2003;0,5;3,8;334
21;30;7;2003;0,3;3,9;50
0;31;7;2003;0,3;4;151
3;31;7;2003;0,5;3,9;194
6;31;7;2003;0,7;3,6;165
9;31;7;2003;0,8;4,1;179
12;31;7;2003;0,9;4,1;173
15;31;7;2003;0,9;4,8;180
18;31;7;2003;1;4,6;182
21;31;7;2003;1;5,8;240
0;1;8;2003;1,3;6;216
3;1;8;2003;0,9;5,6;220
6;1;8;2003;0,8;5,4;221
9;1;8;2003;0,6;4,7;239
12;1;8;2003;0,7;4,3;225
15;1;8;2003;0,6;4;223
18;1;8;2003;0,7;4,4;230
21;1;8;2003;0,6;5,7;210
0;2;8;2003;0,7;5,4;222
3;2;8;2003;0,6;4,9;208
6;2;8;2003;0,8;4,9;210
9;2;8;2003;0,6;4,3;204
12;2;8;2003;0,6;4,5;212
15;2;8;2003;0,6;4,1;217
18;2;8;2003;0,5;5,2;200
21;2;8;2003;0,6;5,1;336
0;3;8;2003;0,7;5;57
3;3;8;2003;0,6;4,8;199
6;3;8;2003;0,5;5,3;211
9;3;8;2003;0,4;5,1;168
12;3;8;2003;0,5;4,6;147
15;3;8;2003;0,6;3,9;150
18;3;8;2003;0,7;4,2;133
21;3;8;2003;0,6;3,8;161
0;4;8;2003;0,5;4,2;185
3;4;8;2003;0,4;3,7;168
6;4;8;2003;0,6;4;147
9;4;8;2003;0,6;3,7;145
12;4;8;2003;0,6;3,9;141
15;4;8;2003;0,5;3,6;148
18;4;8;2003;0,4;3,7;81
21;4;8;2003;0,3;3,6;58
0;5;8;2003;0,2;4,1;19
3;5;8;2003;0,3;3,5;349
6;5;8;2003;0,4;3,5;41
9;5;8;2003;0,5;3,7;22
12;5;8;2003;0,6;3,7;38
15;5;8;2003;0,6;3,8;14
18;5;8;2003;0,8;4,2;167
21;5;8;2003;0,9;4,7;75
0;6;8;2003;0,8;4,5;59
3;6;8;2003;0,9;4,3;138
6;6;8;2003;0,8;4,1;122
9;6;8;2003;0,8;4,1;58
12;6;8;2003;0,6;4,1;335
15;6;8;2003;0,5;4,2;338
18;6;8;2003;0,6;3,5;323
21;6;8;2003;0,6;3,6;323
0;7;8;2003;0,6;3,7;318
3;7;8;2003;0,5;3,8;330
6;7;8;2003;0,5;3,6;319
9;7;8;2003;0,3;3,6;344
12;7;8;2003;0,4;3,4;352
15;7;8;2003;0,3;3,4;343
18;7;8;2003;0,3;3,5;336
21;7;8;2003;0,2;3,5;345
0;8;8;2003;0,2;3,7;348
3;8;8;2003;0,1;4,1;340
6;8;8;2003;0,2;3,6;72
9;8;8;2003;0,3;3,5;146
12;8;8;2003;0,5;3,6;142
15;8;8;2003;0,4;3,6;137
18;8;8;2003;0,4;3,7;124
21;8;8;2003;0,4;3,4;143
0;9;8;2003;0,5;3,6;162
3;9;8;2003;0,5;3,4;155
6;9;8;2003;0,6;3,8;153
9;9;8;2003;0,6;3,6;148
12;9;8;2003;0,6;4,1;136
15;9;8;2003;0,6;3,8;160
18;9;8;2003;0,5;3,9;339
21;9;8;2003;0,8;3,6;328
0;10;8;2003;0,6;3,7;325
3;10;8;2003;0,6;3,6;330
6;10;8;2003;0,4;3,6;325
9;10;8;2003;0,4;3,6;342
12;10;8;2003;0,3;3,7;351
15;10;8;2003;0,4;3,4;344
18;10;8;2003;0,4;3,5;333
21;10;8;2003;0,3;3,6;320
0;11;8;2003;0,3;3,4;326
3;11;8;2003;0,2;3,4;323
6;11;8;2003;0,3;3,4;339
9;11;8;2003;0,3;3,4;342
12;11;8;2003;0,3;3,3;349
15;11;8;2003;0,3;3,3;346
18;11;8;2003;0,5;3,4;338
21;11;8;2003;0,3;3,4;329
0;12;8;2003;0,2;3,4;327
3;12;8;2003;0,1;4,3;334
6;12;8;2003;0,2;3,6;340
9;12;8;2003;0,1;4;349
12;12;8;2003;0,2;3,4;5
15;12;8;2003;0,1;3,6;21
18;12;8;2003;0,1;3,6;187
21;12;8;2003;0,1;3,8;173
0;13;8;2003;0,1;3,7;279
3;13;8;2003;0,1;4,3;232
6;13;8;2003;0,3;3,3;253
9;13;8;2003;0,3;3,8;283
12;13;8;2003;0,6;3,7;311
15;13;8;2003;0,7;4,1;321
18;13;8;2003;0,9;4,1;309
21;13;8;2003;0,8;4,3;297
0;14;8;2003;0,8;4,4;300
3;14;8;2003;0,8;4,4;313
6;14;8;2003;0,9;4,4;325
9;14;8;2003;0,9;4,4;338
12;14;8;2003;0,8;4,1;335
15;14;8;2003;0,8;4,1;326
18;14;8;2003;0,9;4,2;325
21;14;8;2003;0,8;4;335
0;15;8;2003;0,7;3,9;326
3;15;8;2003;0,6;4,1;332
6;15;8;2003;0,6;3,9;334
9;15;8;2003;0,6;3,9;346
12;15;8;2003;0,5;3,8;341
15;15;8;2003;0,5;3,7;332
18;15;8;2003;0,7;3,7;324
21;15;8;2003;0,5;3,8;332
0;16;8;2003;0,5;3,7;335
3;16;8;2003;0,4;3,8;344
6;16;8;2003;0,4;4;3
9;16;8;2003;0,4;3,9;16
12;16;8;2003;0,4;4;61
15;16;8;2003;0,3;4,4;73
18;16;8;2003;0,3;5,4;107
21;16;8;2003;0,3;5,1;149
0;17;8;2003;0,4;4,4;139
3;17;8;2003;0,5;3,8;170
6;17;8;2003;0,5;4;165
9;17;8;2003;0,7;3,8;144
12;17;8;2003;1,2;4,6;156
15;17;8;2003;1,3;4,5;142
18;17;8;2003;1,4;5;164
21;17;8;2003;1;4,5;193
0;18;8;2003;0,8;5,2;248
3;18;8;2003;0,8;4,7;213
6;18;8;2003;0,6;4,3;215
9;18;8;2003;0,6;3,6;230
12;18;8;2003;0,5;3,6;230
15;18;8;2003;0,6;3,7;225
18;18;8;2003;0,8;4,4;235
21;18;8;2003;1;5;245
0;19;8;2003;0,9;5,1;238
3;19;8;2003;0,9;4,7;247
6;19;8;2003;0,9;4,9;240
9;19;8;2003;0,9;5,1;251
12;19;8;2003;0,8;4,8;255
15;19;8;2003;0,8;4,5;246
18;19;8;2003;0,7;4,3;258
21;19;8;2003;0,6;4,6;253
0;20;8;2003;0,5;4,8;237
3;20;8;2003;0,5;4,5;232
6;20;8;2003;0,5;4,5;227
9;20;8;2003;0,5;4,6;230
12;20;8;2003;0,4;5;222
15;20;8;2003;0,4;4,3;251
18;20;8;2003;0,4;4,6;220
21;20;8;2003;0,5;4,2;223
0;21;8;2003;0,6;3,6;208
3;21;8;2003;0,6;3,6;206
6;21;8;2003;0,7;3,4;202
9;21;8;2003;0,8;3,8;213
12;21;8;2003;1;4,6;219
15;21;8;2003;0,8;5;219
18;21;8;2003;0,8;4,5;243
21;21;8;2003;0,9;4,9;255
0;22;8;2003;0,9;5,3;237
3;22;8;2003;0,9;5,6;267
6;22;8;2003;1;5,6;255
9;22;8;2003;1;6,1;278
12;22;8;2003;1,1;6,8;327
15;22;8;2003;1;6,4;41
18;22;8;2003;1;6;33
21;22;8;2003;0,9;5,8;16
0;23;8;2003;0,9;6,1;79
3;23;8;2003;0,8;6,2;43
6;23;8;2003;0,7;5,9;51
9;23;8;2003;0,7;5,6;120
12;23;8;2003;0,7;5,6;99
15;23;8;2003;0,6;5,5;90
18;23;8;2003;0,6;5,4;66
21;23;8;2003;0,5;5,7;358
0;24;8;2003;0,5;5,7;304
3;24;8;2003;0,5;5,9;320
6;24;8;2003;0,5;5,2;345
9;24;8;2003;0,4;4,8;340
12;24;8;2003;0,4;4,2;14
15;24;8;2003;0,5;3,9;346
18;24;8;2003;0,5;3,9;319
21;24;8;2003;0,5;3,6;357
0;25;8;2003;0,6;3,6;113
3;25;8;2003;0,7;3,6;106
6;25;8;2003;0,7;3,8;82
9;25;8;2003;0,7;3,7;74
12;25;8;2003;0,7;3,8;54
15;25;8;2003;0,8;3,8;48
18;25;8;2003;0,8;3,8;60
21;25;8;2003;0,8;3,7;59
0;26;8;2003;0,9;3,9;62
3;26;8;2003;0,8;3,7;66
6;26;8;2003;0,8;3,8;48
9;26;8;2003;0,9;3,8;51
12;26;8;2003;0,7;3,7;50
15;26;8;2003;0,6;3,6;50
18;26;8;2003;0,5;3,7;33
21;26;8;2003;0,5;3,9;60
0;27;8;2003;0,4;3,7;26
3;27;8;2003;0,4;3,8;60
6;27;8;2003;0,3;4;80
9;27;8;2003;0,3;4,1;28
12;27;8;2003;0,3;4;27
15;27;8;2003;0,3;4;19
18;27;8;2003;0,3;3,9;349
21;27;8;2003;0,3;4;312
0;28;8;2003;0,4;3,8;304
3;28;8;2003;0,4;3,9;308
6;28;8;2003;0,4;3,9;331
9;28;8;2003;0,7;3,9;81
12;28;8;2003;1;4;42
15;28;8;2003;0,9;4,1;39
18;28;8;2003;0,7;3,8;352
21;28;8;2003;0,8;4,1;44
0;29;8;2003;0,8;3,9;43
3;29;8;2003;0,7;4;16
6;29;8;2003;0,9;4,2;2
9;29;8;2003;0,8;3,8;15
12;29;8;2003;0,8;3,7;357
15;29;8;2003;0,7;3,9;346
18;29;8;2003;0,9;4,2;337
21;29;8;2003;1;4,3;345
0;30;8;2003;1;4,2;358
3;30;8;2003;0,9;4;8
6;30;8;2003;0,7;4,2;341
9;30;8;2003;0,5;4,3;348
12;30;8;2003;0,5;3,9;344
15;30;8;2003;0,5;3,7;335
18;30;8;2003;0,8;3,9;325
21;30;8;2003;0,8;4,1;326
0;31;8;2003;0,8;4;336
3;31;8;2003;0,7;4;349
6;31;8;2003;0,7;4;348
9;31;8;2003;0,8;4;4
12;31;8;2003;0,7;3,9;341
15;31;8;2003;0,7;3,9;340
18;31;8;2003;0,7;3,8;351
21;31;8;2003;0,8;4;336
